,Tweet,label
46,maaf ya itu urusan pak jokowi aku ga ikut nimbrung mau merekom  airlangga erick atau siapalah itu terserah pak jokowi karena beliau punya kepentingan sendiri aku hanya dukung pak prabowo jadi presiden,Negative
49,mak  sumatera utara mengucapkan selamat memperingati hari komando pasukan khusus kopasus hut ri ke april,Positive
50,yang penting foto dulu bareng calon presiden yagesya,Positive
51,masyarakat cerdas dukung  mahfud,Positive
52,mak  sulsel berbagi kebaikan,Positive
53,gubernur jawa tengah  pranowo mendorong realisasi program satu data indonesia yang dicanangkan presiden joko widodo,Positive
54,fahnoor inismyname di bulan ramadhan ini kami berdoa yuk aminkan yg terbaik buat tokoh ini smoga pak prabowo pak  menjadi calon yg baik sebaik pak anis dan smoga pak anis menjadi presiden yang baik aaaamiiiinnnn,Negative
55,tipetipe santri nungguin buka puasa,Negative
56,chotimah dukung  presiden palestina,Negative
57,chotimah  pranowo menang tapi anies baswedan tetap presiden indonesia priode,Negative
58,relawan ganesa kabmalang dukung  pranowo presiden ri siap menang,Positive
59,alhamdulillah saat aku remaja dan dewasa bisa merasakan kepemimpinan npak presiden joko widodo beruntung banget semoga nanti di pengganti nya akan meneruskan cita cita amp program kerja yg sudah dan sedang dilaksanakan mungkin padeh  pranowo ampmas erick thohir,Positive
60, pranowo kandidat terbaik presiden center,Positive
61,narasi ganti presiden gagal total lalu jokowi mundur gagal juga kini jokowi diujung tanduk tp gue khaqulyakin provokasi si peli akan slalu gagal krn rakyat sdh cerdas dan mendukung kepemimpinan jokowi bahkan penerusnya sdh ditungguh rakyat yaitu  ri,Positive
62,potret calon presiden indonesia bersama putranya,Positive
63,saya secara pribadi dan semua keluarga besarku tetap mendukung bapak  pranowo sebagai calon presiden,Positive
67,pasar ramadhan dan doa bersama untuk bapak  presiden,Positive
68,prabowo sudah di usung jadi capres wan abud malah sudah keliling nusantara kampanye sudah jadi presiden nah pak  malah belum ada di usung satupun partai tapi elektabilitas selalu no gimana kalau ada yg usung satu putaran kelar presiden,Negative
69, pranowo for presiden,Positive
70,tren popularitas pak  terus naik,Positive
71,elektabilitas  unggul diatas prabowo dan anies,Positive
72,luar biasa pak  mencairkan miliar untuk insentif guru keagamaan,Positive
73,relawan santri dukung  wilayah jawa tengah berbagi paket takjil untuk berbuka puasa bagi para musafir yang melintas di depan kantor kesetariatan santri dukung  korwil jawa tengah,Positive
74,saya optimis  presiden di,Positive
75,mak  sumatera utara mengucapkan selamat hari zeni nasional april,Positive
76, presiden ri ntt untuk  pranowo,Positive
77,pak  presiden ri saat ini hanya pak  yg jadi pilihan bukan prabowo apalagi anis baswedan,Positive
79,nama nya  pranowo pemimpin besar,Positive
80,maju mendukung  menjadi presiden lampung kerasa rip mark bupati quora,Positive
81,insya allah  memang diberi anugerah oleh allah swt untuk jad penerus jokowi jadi presiden di,Positive
82,insya allah  anugerah tuhan maha kuasa bagi bangsa indonesia jadi penerus jokowi presiden di,Positive
83,saya setuju sekali  jadi presiden  hebat amanah pranowo,Positive
84,hasil survei terbaru smrc menunjukkan bukti gubernur jawa tengah  pranowo masih jadi capres potensial untuk pemilihan presiden di dengan elektabilitas tertinggi dan lebih kuat dibanding tokohtokoh lain semangat untuk membawa indonesia maju,Positive
85,menang telak mengalahkan calon lainnya di survei capres lembaga kredibel smrc mayoritas masyarakat di kalangan santri abangan dan priyayi lebih memilihgubernur jawa tengah  pranowo sebagai presiden dibanding tokoh lain allhamdulillah,Positive
86,pada kajian ilmiah prof saiful mujani mayoritas muslim jawa para santri kaum abangan priayi dalam pemilihan presiden sebanyak persen memilih  pranowo sebagai presiden cc,Positive
87,dari hasil survei smrc sebanyak persen warga muslim etnis jawa yang mengaku santri akan memilih kader pdip  pranowo sebagai calon presiden capres muhammadiyah rip mark,Positive
89,chotimah itu kata org medan neng drama bukan soal siapa presiden nya ini soal iknkalau  prabowo menang pastinya ikn di kalimantan tapi penduduk jabotabek jawa barat dan jawa tengah apalagi sumatra berharap anis menang ibu kota tetap di jakarta neng kata banyak org,Positive
91,dukung  presiden indonesia di,Positive
92,prabowo anis  tidak terbendung lagi untuk menjadi calon presiden ri soal tidak dapat tiket adalah soal lain itulah politik semoga para capres sehat selalu dan tetap mendukung nkri,Positive
93,pamor ngabalin dimedsos dan layar kaca tersisa beberapa bulan lagi jika anis terpilih presiden koar koir ngabalin disumbat anis kita tunggu saja apakah anis vs mahfud md menang atau prabowo vs jokowi kalau  sdh resmi di nobatkan sebagai presiden meddos,Negative
94,preeeeeeet demi konstitusi demi popularitas partai tuuh mau  atau puan presiden nya bukan pdip,Negative
95,utam loyalis  dukung untuk presiden,Positive
96,doakan untuk presiden sahabat  saga gelar pengajian ramadhan beraama komunitas pedagang keliling kabupaten pekalongan,Positive
97,dari hasil survei smrc sebanyak persen warga muslim etnis jawa yang mengaku santri akan memilih kader pdip  pranowo sebagai calon presiden capres kerasa densus bandung yudo,Positive
99, terus peroleh banyak dukungan jadi calon presiden,Positive
100,kegiatan canvasing door to door di jl pelabuhan talang duku rt desa muara kumpeh kec kumpeh ulu kab muaro jambi prov jambi,Negative
101,survei smrc mayoritas santri jawa pilih capres survei smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah  pranowo sebagai calon presiden,Positive
102,kami relawan mak  kota samarindaprovinsi kalimantan timur siap mendukung bapak  pranowo menjadi presiden ri,Positive
103,terima kasih para santri telah memilih ,Positive
104,semua akan  pada waktunya gelombang dukungan kpd utk mencalonkan diri sebagai kandidat presiden terus bermunculan terbaru ada relawan bernama  pranowo link gp link yg mendeklarasikan dukungan kepada  untuk maju di pemilihan presiden,Positive
105,biar digoyang trus  pranowo tetaplah pemenang yakin  presiden,Positive
106,mayoritas warga muslim jawa pilih  pranowo capres  the next presiden,Positive
107,mayoritas santri pilih  pranowo capres survey smrc menunjukkan mayoritas warga muslim dan santri memilih gubernur jawa tengah sebagai presiden,Positive
108,berdasarkan study saiful mujani mayoritas santri abangan dan para priyayi memilih menjadi presiden di  selalu terdepan,Positive
109,mayoritas atau warga muslim jawa yang mengaku santri memilih gubernur jawa tengah  pranowo sebagai calon presiden tiga kategori responden muslim jawa yang dibagi menjadi santri abangan dan priyayi menetapkan hati nya kepada pak,Positive
110,tangguh pak  calon kuat presiden ri,Positive
111,kajian ilmiah prof saiful mujani menunjukkan sebanyak santri khususnya kaum muslim jawa memilih  pranowo sebagai presiden dalam pemilihan presiden warga muslim jawa yg mengaku santri memilih,Positive
112, pranowo teratas bila pemilihan presiden sekarang survei saiful mujani research and consulting smrc menunjukkan mayoritas warga memilih gubernur jawa tengah sebagai calon presiden,Positive
115,berdasarkan hasil survey smrc yg dilakukan pd april sebanyak mayoritas santri condong memilih  pranowo sbg presiden ri semangat selalu pak,Positive
116,update terbaru gaes walaupun di hajar sampai modyar nama  pranowo tetap yg teratas bila pemilihan presiden sekarang elektabilitas trs naik dan naik dgn hasil survei,Positive
117,bersama presiden jokowi  pranowo meninjau pasar guna mengecek harga kebutuhan pokok,Negative
118,dalam studi smrc yang di lakukan oleh prof saiful mujani gubernur jawa tengah menjadi pilihan para santri kaum abangan dan priayi sebagai calon presiden di pilpres pokoke  selalu dinanti bener mboten,Positive
119,bukti masyarakat mencintai pak dalam studi saiful mujani para santri kaum abangan dan priayi memilih pak  sebagai presiden di pemilu,Positive
120,santri dukung  prof saiful mujani smrc melakukan studi mutakhir pada masyarakat muslim beretnis jawa dari kalangan santri mendukung menjadi presiden ri pada pilpres,Positive
121, pranowo teratas menurut survei terbaru smrc survei saiful mujani research and consulting smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah sebagai calon presiden,Positive
122,karepmu mbah yen aku tetep  for presiden,Positive
123,kadang bingung ne dan sama putra terbaik dan layak untuk menjadi presiden di sedikit perbedaan saja  masih di regional jateng sedangkan prabowo jauh lebih luas bahkan sampe ke luar negeri jd aku masih pengen presiden,Positive
124,dalam pemilihan presiden yg dilakukan studi saiful mujani mayoritas atau persen warga muslim jawa yg mulai dari para santri kaum abangan amp priyayi memilih kader partai demokrasi indonesia perjuangan pdip  pranowo berdasarkan hasil survei smrc pun pak  unggul,Positive
125,lembaga survei saiful mujani research and consulting smrc merilis hasil survei terbarunya terkait pemilihan presiden hasilnya gubernur jateng pranowolebih unggul dalam perolehan suara responden pada survei tersebut saya makin yakin pilih pak,Positive
126,gubernur jawa tengah adalah figur terkuat calon presiden di pemilu elektabilitas  masih yg tertinggi mereka yang berlawanan dengan  banyak yg makin gusar bravo perjuangan,Positive
127,solid mendukung  sampai jadi presiden ri  siji  kabeh,Positive
128,tinggal menunggu waktu yang tepat megawati akan menjawab keyakinan kita  dicalonkan menjadi presiden dan pemilu mendatang menjadi kemenangan hattrick bagi pdip,Positive
129,jumat berkah bagi bagi takjil di siwalankerto wonocolo surabaya,Negative
130,santri dukung  hadir di kabupaten pekalongan pranowo,Positive
132,santri dukung  koordinator wilayah jawa tengah melakukan kunjungan ke majelis taklim muslimah di kabupaten pekalongan pranowo,Positive
133,giat hari ini sdg sumsel membagikan takjil untuk berbuka puasa kepada masyarakat palembang pranowo,Negative
134,embe tetep dukung  jadi presiden palestina,Positive
135,elektabilitas  pasca penolakan kedatangan tim bola  israel saat ini kemungkinan akan terkatrol bila ada kepastian sbg balon menjadi calon presiden di pilpres,Negative
136,mayoritas warga muslim jawa memilih  pranowo menjadi capres,Positive
137,keren pak  memfasilitasi puluhan ribu pemudik,Positive
138,luar biasa pak  memberikan insentif untuk kesejahteraan guru agama,Positive
139,cent mohon doanya pak  pranowo dipilih rakyat jadi presiden nya bukan anies baswedan yaaa paham,Positive
140,nelayan di pesisir pantai madasari sepakat dukung  pranowo jadi presiden,Positive
142,peneliti senior indonesia survey center isc chairul ansari mengungkapkan empat alasan prabowo subianto lebih unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu mendatang prabowo subianto,Positive
143,rakyat siap mendukung pak  menjadi presiden indonesia tahun bts is back konsonan langit paras bima bts new song yudo sumbar china baekhyun apbn exoclockexofanmeeting chanyeol junmyeon na jaemin thank you,Positive
145,rakyat masih satu komando harapkan  jadi presiden yudo oshi paras switch bab konsonan langit leg apbn bima,Positive
146,mak  sumatera utara bersilaturahmi dengan masyarakat setempat sekaligus bekerjasama untuk memanenkan memetik hasil panen cabe,Positive
149,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari  pranowo dan anies baswedan prabowo subianto,Negative
150,biar kegiatan lebih bermanfaat maka diisi pelatihan bareng mak  follow kami di untuk informasi lain dm kami,Negative
151,chotimah  pranowo for presiden indonesia,Positive
152,luar biasa pak  pranowo sangat perhatikan wong cilik dg konsisten semoga kelak akan jadi presiden ri ke di tahun aamiin aamiin aamiin ya robbal alamin,Positive
153, pranowo dipercaya sebagai anugerah allah swt bagi bangsa indonesia sebagai penerus jokowi presiden di kalau allah sudah berkehendak segala rintangan apapun takkan bisa menghalangi amiin,Positive
154, insya allah jadi anugerah allah swt bagi bangsa indonesia sebagai penerus jokowi presiden di,Positive
155,dalam beberapa bulan terakhir dibandingkan dua kandidat yang digadanggadang bakal menjadi calon presiden pada pilpres  pranowo dan anies baswedan prabowo subianto,Positive
158,siapakah yang paling pantas menjadi presiden ri periode anies rasyid baswedan prabowo subianto  pranowo total suara berikan suara anda klik link tolong forward ke group dan temantemanmu ya,Negative
159,kegiatan canvasing mak  sumsel berbagi kebaikan,Positive
161, pranowo presiden sumbar yati de gea china yudo lailatul qadar pagi morninggg emyu apbn nabi ya ya ya knsonan langit,Positive
162,mak  ntt,Negative
163,terik siang hari yang menyengat ditambah kegiatanku yg sangat padat seketika kuingat senyum pak  jiwaku kembali bersemangat,Positive
164,door to door di jl pelabuhan talang duku rt desa muara kumpeh kec kumpeh ulu kab muaro jambi prov jambi,Negative
165,tretan  di sampang gelar deklarasi dukung  pranowo nyalon presiden di via,Positive
166,warga laporkan relawan  bagikan kaos dan dompet  presiden,Positive
167,sebagai gubernur  bikin bahagia warganya yang merantau bisa mudik bersama gimana kalau beliau jadi presiden yang benar pilih ,Positive
168,dukungan ke gub jawa tengah  pranowo sebagai presiden ri pada terus berdatangan kali inisebuah organ relawan pendukung  dideklarasikan di surabaya jawa timur namanya  pranowo link gp link,Positive
169,elektabilitas  selalu unggul untuk jadi calon presiden,Positive
170,sesama partai pendukung pun sudah muak dengan kelakuan politisi pdip gimana presiden ngak malu kelakuan koster   kemaren akhirnya pildunnya batal kali ini kita ngak pilih pdip,Positive
171,presiden prediksi gwklau  prabowo pasti anies  nyungsep,Negative
172,mantap sekali pak  berikan bus mudik gratis,Positive
173,pak  semakin luar biasa sosok yang perhatian terhadap rakyatnya,Positive
174,elektabilitas pak  tak terkalahkan di jateng amp jatim,Positive
175,silaturahmi mt alkhair kota palembang kamis,Negative
176,wow gato aku selalu mendukung mu teruslah berbuat baik terhadap sesama  presiden,Positive
177, pranowo for presiden mantap pak ,Positive
178, pranowo mendampingi presiden joko widodo berkunjung ke sejumlah pasar tradisional di jateng kunjungan tersebut utk mengecek harga amp stok kebutuhan pokok jelang lebaran selama kunjungan  amp jokowi menyapa masyarakat amp pedagang,Positive
179,lanjutkan pak  pranowo untuk presiden,Positive
180,rakyat masih satu komando harapkan  jadi presiden odgj spyair bpkb pak prabowo beauty is me wkeyaki fes kota depok,Positive
181,cent layak dan pantas menjadi pengganti pak,Negative
182,khatam quran dan buka puasa serta doa bersama untuk bapak  presiden,Positive
183,dukung penuh pak  pranowo maju jadi presiden,Positive
189,cenderung memberikan dukungan buat prabowo subianto dan  pranowo sebagai kandidat calon presiden capres pemilu prabowo subianto,Negative
191,emakemak ntt untuk  pranowo presiden,Positive
192,sdg jateng menjalin silaturahmi ke ibuibu majelis taklim muslimah di kabupaten temanggung pranowo,Positive
193,dalam survei mengenai calon presiden untuk pemilihan umum peneliti senior dari indonesia survey center isc chairul ansari menyajikan empat alasan mengapa prabowo subianto memiliki keunggulan dari  pranowo dan anies baswedan,Negative
194, pranowo yang masuk untuk jadi presiden ibu mega jangan tinggalkan  nati menyesal,Positive
195,pilpres  mahfud md prabowo eric thohir aniesandika perkasa ini baru sama kuat kita tetap pilih prabowoeric thohir kata gusdur saatnya prabowo masa tua jadi presiden dan dukungan presiden jokowi juga,Positive
196,kegiatan canvasing mak  sumsel berbagi kebaikan di daerah banyuasin,Positive
197,berbagi kebaikan di jl pelabuhan talang duku rt desa muara kumpeh kec kumpeh ulu kab muaro jambi prov jambi semoga apa yang tim relawan beri bisa bermanfaat aamiin yaallah,Positive
199,fx hadi rudyatmo siap melakukan klarifikasi dan melapor ke dewan pers soal pernyataan  pranowo maju sebagai calon presiden capres,Negative
201,di sisi lain hasil survei lembaga survei indonesia lsi juga menunjukkan elektabilitas antara tiga calon presiden capres potensial di pemilu yaitu  pranowo prabowo subianto dan anies baswedan sama kuat prabowo subianto,Positive
202,survei litbang kompas mencatat kemungkinan berpindahnya dukungan terhadap  pranowo kepada prabowo subianto dalam kontestasi kandidat pemilu presiden prabowo subianto,Negative
204,dibandingkan dua kandidat yang digadanggadang bakal menjadi calon presiden pada pilpres  pranowo dan anies baswedan prabowo subianto,Positive
205,menteri pertahanan menhan prabowo subianto dinilai cocok berpasangan dengan gubernur jawa tengah  pranowo sebagai calon presiden dan wakil presiden caprescawapres di pilpres,Negative
209,viva politik peneliti senior indonesia survey center isc chairul ansari memaparkan empat alasan prabowo subianto unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu,Negative
210,kembali masyarakat sampang madura mendukung  pranowo next presiden indonesia yang cerdas dan waras pastinya dukung ,Positive
211,setelah sampang pamekasan madura ya lur bolone pak  juga datang dari kediri loh tetap dengan kesederhanaan guyub rukun gotong royong mereka mendirikan bannner demi menyatakan kecintaan terhadap untuk terangan menyatakan dukungan sebagai presiden,Positive
212,kuatnya reaksi terhadap penolakan  berpotensi memengaruhi langkahlangkah politiknya dalam pemilu presiden mendatang apabila tak ada inisiatif manuver elektabilitas dukungan kepadanya berpotensi beralih,Negative
213,madura hadir dan serukan  pranowo the best presiden indonesia,Positive
214,ian jatim yakin pdi perjuangan calonkan  ian jawa timur yakin pdi perjuangan akan mencalonkan  pranowo dalam pemilihan presiden opsi terbaik untuk mencetak via,Positive
215,bisa jadi ini adalah isyarat kepada siapa presiden memberikan restunya untuk dan pasangan  adalah yang terbaik,Positive
216,dua tokoh ini sangat dekat dengan presiden joko widodo hingga masyarakat indonesia pun meyakini bahwa mereka berdualah yang direstui jokowi sebagai penerusnya nanti di pilpres erick,Positive
217,wakil ketua dewan pembina partai solidaritas indonesia psi grace natalie akan mengusulkan gubernur jawa tengah  pranowo untuk dicalonkan sebagai calon presiden lewat koalisi besar untuk menghadapi pemilu lt,Positive
218,the legend slamet rahardjo and eros djarot rahardjo dua duanya dukung  presiden ri gengs nasionalis marhenis sejati,Positive
219,anda sudah lama sakit mental jokowi udah tahun presiden mulut mu msh sibuk dengan cebang cebong dongak dongok nih saya tambahin spy kamu lbh gila  jd presiden gibran jan ethes,Negative
220,warganet laporkan relawan  bagikan kaos dan dompet  presiden di daerah jakarta selatan relawan  memang kenceng ya dananya besok kira bagiin apa lagi ya lampung anas koruptor firli china kereta agnes,Positive
221,mak  sumatera utara berkolaborasi dan bersilaturahmi dalam rangka membuat kue kipas kapit,Negative
223,money politics warganet laporkan relawan  bagikan kaos amp dompet  presiden  itu gubernur jateng kok bagi kaos di wilayah cipete kebayoran baru jaksel,Negative
224,silaturrahmi musholla al mubarok kabupaten trenggalek serta berikan bantuan toa,Negative
227,senang juga mendapatkan doorprize tv kebetulan tv dirumah sedang rusak semoga pak  menjadi presiden indonesia ucap peserta bazar leli mukarohma,Positive
228,inews tv inews sore senin april wib sahabat  bersama masyarakat surabaya gelar bazar ramadan dan deklarasikan  pranowo presiden surabaya jawa timur senang sekali bisa mendapatkan sembako murah karena perekonomian sedang susah,Positive
229,realistis aja bang indonesia gak cuma bola itu bener tp swing voters  beralih itu pasti swing voters itu bukan pendukung loyal soalnya  skrg sisa pendukung loyal aja lu bacot terus buat naikin elektabilitas  sory presiden kalau gak prabowo ya anies,Negative
232,kompas tv kompas update selasa april wib sahabat  bersama masyarakat surabaya gelar bazar ramadan dan deklarasikan  pranowo presiden surabaya jawa timur senang sekali bisa mendapatkan sembako murah karena perekonomian sedang susah,Positive
233,bukan untuk belanja mereka datang pagi buta hanya untuk bertemu dua tokoh yang mereka cinta gubernur jawa tengah  pranowo dan presiden ri joko widodo yang dijadwalkan mengunjungi pasar itu,Positive
234,gubernur jawa tengah  pranowo salat tarawih bareng presiden joko widodo atau jokowi di masjid syekh al zayed solo jateng,Positive
235,sahabat  pasar selo dan pasar cepogo boyolali menjadi ramai dipenuhi warga kedatangan mereka untuk bertemu gubernur jawa tengah  pranowo dan presiden ri joko widodo ketika iringiringan tiba di pasar selo sekitar pukul wib warga teriak histeris ketika,Positive
236,sahabat  gubernur jawa tengah jateng  pranowo salat tarawih bareng presiden joko widodo atau jokowi di masjid syekh al zayed solo jateng senin awalnya  tiba lebih dulu di masjid pemberian uni emirat arab uae tersebut dengan mengenakan batik,Positive
237, pranowo dan presiden ri joko widodo melakukan kunjungan pasar selo boyolali pada april,Positive
238, next presiden palestina,Positive
239,akhirnya kk ini punya rumah sendiri tanpa dp dan biaya angsuran yang cuma rp ribu per bulan inilah program tuku lemah oleh omah yang terus kita tingkatkan jumlah pembangunannya setiap tahun  anugerah kedua bagi bangsa indonesia setelah jokowi presiden di,Positive
240,sahabat  bersama masyarakat surabaya gelar bazar ramadan dan deklarasikan  pranowo presiden kompas tv kompas update selasa april wib surabaya jawa timur,Positive
243,dari sampang madura siap kawal  pranowo presiden,Positive
244,pada simulasi tiga nama calon presiden tingkat keterpilihan terhadap prabowo berhasil menyalip  pranowo capres dekade mendingprabowo terusmajubersamaprabowo terbukti kerja prabowo mending prabowo,Negative
245,warganet laporkan relawan  bagikan kaos dan dompet  presiden di daerah jakarta selatan,Positive
246,silaturahmi mt jamiatul ulum ogan komering ilir,Negative
247,kompas tv kompas update sahabat  bersama masyarakat surabaya gelar bazar ramadan dan deklarasikan  pranowo presiden surabaya jawa timur nampak antusias dari masyarakat sangat luar biasa gess,Negative
248,sudah lah sekarang terserah loe yg penting pak  nasih lebih baik dari calon lainnya jika gusti allah menghendaki jadi presiden ri pasti jadi monggo sekarang kritik dan maki semampumu sampai loe puas,Positive
249,psi merapat ke koalisi besar bersama golkar ppp gerindra pkb dan pan wakil ketua dewan pembina psi grace natalie mengatakan psi akan mengusulkan  pranowo untuk dicalonkan sebagai calon presiden lewat koalisi besar pada pemilu sesuai hasil rembuk rakyat,Negative
250,kalaulah nat ganesha tidak suka dengan sebagai calon presiden di koalisi besar lebih baik cari partai lain jika ada yg mau capres kan sadar diri itu jauh lebih baik amp bijak daripada buat kisruh pada tim jokowi pondasi koalisi besar,Negative
251,sinyal dukungan presiden jokowi kpda pak  pranowo smakin kuat nih all bisa kita lihat hubungan ke pemimpin tersebut tetap hangat amp akrab mulai dari taraweh bareng jumatan bareng hingga blusukan bareng mengingat sifat presiden jokowi pak  ttp pling beliau dukung,Positive
252,dukung  presiden,Negative
253,chairul ansari memaparkan empat hal yang menyebabkan prabowo subianto unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden pemilu prabowo subianto,Positive
254,kompas tv kompas update selasa april wib sahabat  bersama masyarakat surabaya gelar bazar ramadan dan deklarasikan  pranowo presiden surabaya jawa timur,Positive
255,milenial go  jatim deklarasi dukung  pranowo sebagai presiden,Negative
256,sahabat  bersama masyarakat surabaya gelar bazar ramadan amp deklarasikan  pranowo presiden antusias dr masy sangat luar biasa kita jg berbagi kpd sesama selama bulan puasa ini ketua dpc kota surabaya andre cahyo nugroho,Positive
259,kabar soal direstuinya gubernur jawa tengah  pranowo maju menjadi calon presiden oleh ketua umum pdip megawati soekarnoputri mencuat ke publik kabar ini pertama kali diungkapkan oleh ketua dpc pdip solo fx hadi rudyatmo ist,Negative
260,unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu,Positive
261,sosok mahfud md digadanggadang cocok untuk menjadi calon wakil presiden pasangan anies baswedan ataupun  pranowo dalam kancah pilpres simak berita selengkapnya di politik,Positive
262,jakarta menteri pertahanan menhan prabowo subianto dinilai cocok berpasangan dengan gubernur jawa tengah  pranowo sebagai calon presiden dan wakil presiden caprescawapres di pilpres prabowo subianto,Positive
263,peneliti senior isc chairul ansari memaparkan ada empat alasan prabowo subianto unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu,Negative
264,palembang hasil survei calon presiden prabowo subianto berhasil unggul atas anies baswedan dan  pranowo di kabupaten musi banyuasin muba dan ogan ilir oi,Positive
265,daripada  pranowo dan anies baswedan dalam survei mengenai kandidat calon presiden untuk pemilu di indonesia prabowo subianto,Positive
267,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari  pranowo dan anies baswedan,Negative
270,mak  door to door berbagi kasih berbagi kebaikan,Positive
271,menyatakan bahwa ada empat faktor yang membuat prabowo subianto lebih unggul daripada  pranowo dan anies baswedan dalam survei mengenai kandidat calon presiden untuk pemilu di indonesia,Positive
274,jakarta lembaga survei indonesia lsi mengungkapkan tren elektabilitas prabowo subianto mengalami penguatan jika dibandingkan nama  pranowo untuk pemilihan presiden prabowo subianto,Positive
276,peneliti senior indonesia survey center isc chairul ansari membeber empat alasan prabowo subianto unggul dari  pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu prabowo subianto,Positive
277,simak bukan  anies ataupun prabowo ahli tarot ramal presiden itu keturunan jawa dan suka pakai topi poskota,Positive
278,jakarta menteri pertahanan menhan prabowo subianto dinilai cocok berpasangan dengan gubernur jawa tengah  pranowo sebagai calon presiden dan wakil presiden caprescawapres di pilpres,Positive
279,dukung  pranowo the next presiden satrel st utama news,Positive
280,kompak dukung pak  pranowo menjadi presiden,Positive
281,kuatnya reaksi terhadap penolakan  berpotensi memengaruhi langkahlangkah politiknya dalam pemilu presiden mendatang,Positive
282,kegiatan pelatihan pengelolaan air bersih dan doa bersama untuk  pranowo presiden sekaligus buka puasa bersama pondok pesantren asy syuro desa galang kec pinyuh kabupaten mempawah kalbar,Positive
283,sebelumnya pak jokowi dengan pak  setelah itu langsung dengan pak erick gaet menteri bumn erick dampingi presiden jokowi pantau pasar erick thohir harga kebutuhan pokok terkendali,Positive
285,selamat menunaikan ibadah puasa,Positive
