,Date,User ID,Tweet,label,paslon,Clean
53,2023-04-15,132061075.0,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas anies jadi presiden gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya,Negative,anies,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan lagi pas jadi gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut
66,2023-04-15,2691990056.0,makar alloh swt lebih bagus dan berlaku in sya alloh pak anies baswedan the next presiden ri aamiinx yra,Positive,anies,makar alloh swt lebih bagus dan berlaku in sya alloh pak the next aamiinx yra
68,2023-04-15,3731381352.0,yang mengusung anies baswedan sebagai calon presiden di pilpres prabowo subianto,Positive,anies,yang mengusung sebagai di
70,2023-04-15,59677074.0,semoga kalau anies jadi presiden orang ini dicopot dari jabatannya,Positive,anies,semoga kalau jadi orang ini dicopot dari jabatannya
74,2023-04-15,634227637.0,kereta cepat cepat cepat,Negative,anies,kereta cepat cepat cepat
75,2023-04-15,4011609674.0,pak anies ustadz mana yg hafus ditemui dan ustadz juga tahu siapa saja yg layak ditemui barokallah pak anies dan gus baha,Positive,anies,pak ustadz mana hafus ditemui dan ustadz juga tahu siapa saja layak ditemui barokallah pak dan gus baha
78,2023-04-15,634227637.0,lu jadiin masjid dan takjil sebagai materi cerita bohong,Negative,anies,lu jadiin masjid dan takjil sebagai materi cerita bohong
79,2023-04-15,4011609674.0,romadhon ketika amal dilipat gandakan ketika doa diijabah pak anies menyepi insya allah,Positive,anies,romadhon ketika amal dilipat gandakan ketika doa diijabah pak menyepi insya allah
85,2023-04-14,3158832157.0,selama ini si curut sitompul nggak waras kalau lgi memfitnah anies baswedan presiden ri,Positive,anies,selama ini si curut sitompul nggak waras kalau memfitnah
86,2023-04-14,30766806.0,festival hadrah seprovinsi jawa timur ishari nu gema abw via,Positive,anies,festival hadrah seprovinsi jawa timur ishari nu gema abw via
87,2023-04-14,30766806.0,festival hadrah ramadhan  ishari nu gema abw,Positive,anies,festival hadrah ramadhan ishari nu gema abw
89,2023-04-14,428008436.0,anies presiden ri insya allahsehat terus pak,Positive,anies,insya allahsehat terus pak
92,2023-04-14,40730991.0,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak anies jadi presiden biidznillah,Positive,anies,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak jadi biidznillah
95,2023-04-14,428008436.0,anies presiden ri insya allah,Positive,anies,insya allah
101,2023-04-14,106057603.0,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk indonesia yang lebih baik menuju peradaban baru partai ke nya duta peradaban pendukung partai dalam mengusung anies rasyid baswedan sebagai calon presiden setuju ga fathur,Positive,anies,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk yang lebih baik menuju peradaban baru partai ke duta peradaban pendukung partai dalam mengusung rasyid sebagai setuju fathur
102,2023-04-14,299732033.0,nakula pecah jutaan jemaah teriakkan anies presiden ke,Positive,anies,nakula pecah jutaan jemaah teriakkan ke
104,2023-04-14,2580513709.0,insyaallah malah naik bila tetap dukung  anies jd presiden,Positive,anies,insyaallah malah naik bila tetap dukung
110,2023-04-14,1322178134.0,dalam menghadapi pilpres nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta anies baswedan sebagai calon presiden prabowo subianto,Positive,anies,dalam menghadapi nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta sebagai
117,2023-04-14,41730943.0,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping anies baswedan pada pemilihan presiden,Positive,anies,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping pada pemilihan
120,2023-04-14,3306055003.0,dan anies baswedan dalam survei mengenai kandidat calon presiden untuk pemilu di indonesia prabowo subianto,Negative,anies,dan dalam mengenai kandidat untuk di
121,2023-04-14,3306055003.0,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari ganjar pranowo dan anies baswedan prabowo subianto,Negative,anies,terbaru mengenai bursa untuk yang dilakukan center isc menemukan bahwa unggul dari dan
124,2023-04-14,971638117.0,wahai orang baik  dikenal solid ayo follow acount resmi pks dan presiden pks agar tembus juta follower sd rabu februari pks menang anies presiden lihat video ayiceopesantrenpolitikcom,Positive,anies,wahai orang baik dikenal solid ayo follow acount resmi pks dan pks agar tembus juta follower sd rabu februari pks menang lihat video ayiceopesantrenpolitikcom
131,2023-04-14,516555256.0,sy dukung anies baswedan jadi presiden ke,Positive,anies,dukung jadi ke
135,2023-04-13,138632715.0,inismyname anies baswedan saja anak muda cerdas inshaallah menjadi presiden ri,Positive,anies,saja anak muda cerdas inshaallah menjadi
152,2023-04-13,2920816987.0,mudahan presiden republik indonesia anies baswedan,Positive,anies,mudahan republik
155,2023-04-13,59677074.0,raffi sama nagita nasibnya ga akan jauh beda sama bohir yg sekarang lagi sibuk ngamanin periode kalau anies jadi presiden,Positive,anies,raffi sama nagita nasibnya akan jauh beda sama bohir sekarang lagi sibuk ngamanin periode kalau jadi
159,2023-04-13,2504072815.0,pak moeldoko membantah tudingan ahy bahwa peninjauan kembali pk yang dilayangkan untuk menjegal anies baswedan sebagai calon presiden gak ada hubungannya dengan anies suka berhalusinasi,Positive,anies,pak moeldoko membantah tudingan ahy bahwa peninjauan kembali yang dilayangkan untuk menjegal sebagai ada hubungannya dengan suka berhalusinasi
163,2023-04-13,306615832.0,prabowo puan vs anies khofifah siapa jadi presiden ri,Negative,anies,puan vs khofifah siapa jadi
169,2023-04-13,517937866.0,hidup anies presiden ke,Positive,anies,hidup ke
183,2023-04-13,634227637.0,koruptor menyebar,Negative,anies,koruptor menyebar
189,2023-04-13,509652077.0,andai pak sandi ini ga nerima pinangan jd cawapres dan tetap jd wagub bs jd gubernur dki andai anies yg kepilih jd presiden bs jd cawapres anies bs jd presiden,Positive,anies,andai pak sandi ini nerima pinangan cawapres dan tetap wagub gubernur dki andai kepilih cawapres
190,2023-04-13,3158832157.0,chotimah ri buzzerp recehan makin panik dan ketakutan anies baswedan presiden ri,Positive,anies,chotimah buzzerp recehan makin panik dan ketakutan
191,2023-04-13,3158832157.0,sudah hilang akal buzzerp recehan untuk memfitnah anies baswedan presiden,Positive,anies,sudah hilang akal buzzerp recehan untuk memfitnah
211,2023-04-12,1916893075.0,insya allah pak anies presiden republik indonesia,Positive,anies,insya allah pak republik
214,2023-04-12,1623010292.0,selama anies maju di pemilu maka iblis dr bani cebong spt ade ini akan selalu berusaha sekuat tenaga mengganggu utk menggagalkn pencalonan anies sbg capreskrn iblis akn kepanasan klo org baik jd presiden,Positive,anies,selama maju di maka iblis bani cebong ade ini akan selalu berusaha sekuat tenaga mengganggu menggagalkn pencalonan sbg capreskrn iblis akn kepanasan klo baik
231,2023-04-12,497574374.0,didu ri kalau inimah sedekah pak meski jelas foto terpanpang dan ada tulisan presiden alasannya karena bukan anies pelakunya tapi kalau anies meski jumatan dimasjid maka itu kampanye anda sehat ri,Negative,anies,didu kalau inimah sedekah pak meski jelas foto terpanpang dan ada tulisan alasannya karena bukan pelakunya tapi kalau meski jumatan dimasjid maka itu kampanye anda sehat
239,2023-04-12,3158832157.0,sudah mandul serangan densy ke anies baswedan presiden ri,Negative,anies,sudah mandul serangan densy ke
249,2023-04-12,3306055003.0,peneliti senior indonesia survey center isc chairul ansari mengungkapkan empat alasan prabowo subianto lebih unggul dari ganjar pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu mendatang prabowo subianto,Negative,anies,peneliti senior center isc chairul ansari mengungkapkan empat alasan lebih unggul dari dan dalam bursa untuk mendatang
252,2023-04-12,55507370.0,sosok mahfud md digadanggadang cocok untuk menjadi calon wakil presiden pasangan anies baswedan ataupun ganjar pranowo dalam kancah pilpres simak berita selengkapnya di politik,Positive,anies,sosok mahfud md digadanggadang cocok untuk menjadi wakil pasangan ataupun dalam kancah simak berita selengkapnya di politik
254,2023-04-12,284771200.0,anies baswedan,Positive,anies,
255,2023-04-12,2989509481.0,anies baswedan,Positive,anies,
256,2023-04-12,2829775256.0,anies baswedan,Positive,anies,
257,2023-04-12,2214699186.0,anies baswedan,Positive,anies,
258,2023-04-12,298356051.0,anies baswedan,Positive,anies,
282,2023-04-12,465280582.0,simak bukan ganjar anies ataupun prabowo ahli tarot ramal presiden itu keturunan jawa dan suka pakai topi poskota,Negative,anies,simak bukan ataupun ahli tarot ramal itu keturunan jawa dan suka pakai topi poskota
283,2023-04-12,990237626.0,mahfud md dinilai tidak cocok mendampingi anies baswedan bertarung di pilpres karena bagian dari rezim pemerintahan presiden joko widodo bagaimana menurutmu tulis di kolom komentar ya,Negative,anies,mahfud md dinilai tidak cocok mendampingi bertarung di karena bagian dari rezim pemerintahan joko widodo bagaimana menurutmu tulis di kolom komentar
284,2023-04-12,2718336037.0,sir mp relawan presiden jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi presiden jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya pd th,Positive,anies,sir mp relawan jokowi harus netral pada sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi jika jokowi netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya pd th
285,2023-04-12,2718336037.0,sir mp relawan presiden jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi presiden jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya th,Positive,anies,sir mp relawan jokowi harus netral pada sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi jika jokowi netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya th
290,2023-04-12,1319417731.0,inismyname iya jokowi aja jd presiden didukung gerindra apalagi anies,Positive,anies,iya jokowi didukung gerindra apalagi
292,2023-04-12,199609723.0,ditunggu saja presiden bpk anies baswedan jgn panik dan stres gt lah,Positive,anies,ditunggu saja bpk jgn panik dan stres lah
305,2023-04-11,86900207.0,pak menteri kalah ditikungan mulu ma abangda yang akhlaknya super duperitu ganti presiden,Positive,anies,pak menteri kalah ditikungan mulu abangda yang akhlaknya super duperitu ganti
306,2023-04-11,634227637.0,lapor beli token listrik prabayar di pln mobile rincian sbb listrik pln denom rp biaya layanan rp metode pembayaran melalui va total bayar rp kwh yang didapat jadi harga kwh rpkwh,Negative,anies,lapor beli token listrik prabayar di pln mobile rincian sbb listrik pln denom rp biaya layanan rp metode pembayaran melalui va total bayar rp kwh yang didapat jadi harga kwh rpkwh
307,2023-04-11,199609723.0,siap presiden orang cerdas pilih anies baswedan,Positive,anies,siap orang cerdas pilih
308,2023-04-11,262626909.0,abdillahtoha insya allah pak anies presiden ri,Positive,anies,abdillahtoha insya allah pak
309,2023-04-11,174453386.0,fahnoor inismyname org itu aneh pa anies diem aja salah dia uda warga biasa kalo kasih pendapat beda lagi narasi org siapa eluh pejabat bukan ngadih pendapat belom jadi presiden uda minta bukti perubahannya dimana aneh,Positive,anies,itu aneh diem salah dia uda warga kasih pendapat beda lagi narasi siapa eluh pejabat bukan ngadih pendapat belom jadi uda minta bukti perubahannya dimana aneh
311,2023-04-11,553451866.0,anies presiden ri,Positive,anies,
315,2023-04-11,384190172.0,alhamdulillah dukungan utk mas di pilpres hadir di tingkat desa bismillah mas anies the next presiden ri aamiin sir relawan pemilugembira,Positive,anies,alhamdulillah dukungan mas di hadir di tingkat desa bismillah mas the next aamiin sir relawan pemilugembira
386,2023-04-11,100501797.0,yang ngomong sekelas sampah bah mana gw percaya pak anies calon presiden indonesia,Positive,anies,yang sekelas sampah bah mana percaya pak
390,2023-04-11,131875808.0,nng sama berarti jkw ps insya allah anies presiden indonesia,Positive,anies,nng sama berarti jkw ps insya allah
392,2023-04-10,567132989.0,bahrawi santai aja nabi aja di fitnah sampai dibakar apalagi anies makin mantap aja nih presiden kita,Positive,anies,bahrawi santai nabi di fitnah sampai dibakar apalagi makin mantap kita
397,2023-04-10,79380990.0,fahnoor inismyname nggak penting bang cuma orang yg ketakutan anies jadi presiden,Positive,anies,nggak penting bang cuma orang ketakutan jadi
398,2023-04-10,1285340365.0,perubahan itu mksdx presiden itu pasti berubah apakah ke prabowo atau ke ganjar makanya anies gk ngomong perubahan program,Negative,anies,perubahan itu mksdx itu pasti berubah apakah ke atau ke makanya gk perubahan program
406,2023-04-10,127146934.0,the real president masih dikuasai rezimjika istana gak happy pencapresan anies itu wajar masih rezim skrg yg akan memimpin lihatlah nanti prabowo akan menjadi presiden,Negative,anies,the real president masih dikuasai rezimjika istana happy pencapresan itu wajar masih rezim akan memimpin lihatlah nanti akan menjadi
410,2023-04-10,198888246.0,aamiiiin anies presiden,Positive,anies,aamiiiin
418,2023-04-10,2378093888.0,rosiade anies untuk presiden,Positive,anies,rosiade untuk
419,2023-04-10,2378093888.0,rosiade anies untuk presiden,Positive,anies,rosiade untuk
442,2023-04-10,117694469.0,issue hanya seorang anies bikin panas semua sampai bikin koalisi gemuk bismillah anies presiden,Positive,anies,issue hanya seorang bikin panas semua sampai bikin koalisi gemuk bismillah
454,2023-04-10,3548868619.0,presiden pks bicara peluang duet aniessandi di pilpres,Positive,anies,pks bicara peluang duet aniessandi di
456,2023-04-10,22365191.0,deklarasi simpul energi garuda keadilan siap menangkan pks dan anies baswedan kami pemudapemudi pks dengan ini berikrar bahwa kami siap menangkan pks dan anies baswedan di pemilu dan pilpres tutur faruq presiden garuda keadilan,Positive,anies,deklarasi simpul energi garuda keadilan siap menangkan pks dan kami pemudapemudi pks dengan ini berikrar bahwa kami siap menangkan pks dan di dan tutur faruq garuda keadilan
460,2023-04-10,59677074.0,sudah lah ngga akan menang lawan ferdy sambo kalau mau keadilan yang mungkin sejalan dgn hati nurani kita ya pilih anies baswedan nanti sebagai presiden,Positive,anies,sudah lah ngga akan menang lawan ferdy sambo kalau mau keadilan yang mungkin sejalan hati nurani kita pilih nanti sebagai
471,2023-04-09,117694469.0,bismillah dengan niat perubahan indonesia lebih baik anies baswedan presiden share dan like yang kita punya persatuan bukan modal uang serta koalisi besartapi dengan semangat perubahan indonesia kita lawan oligarki share video ini relawan anies terimakasih,Positive,anies,bismillah dengan niat perubahan lebih baik share dan like yang kita punya persatuan bukan modal uang serta koalisi besartapi dengan semangat perubahan kita lawan oligarki share video ini relawan terimakasih
476,2023-04-09,1373657900.0,pks menang anies presiden dari damansara kuala lumpur,Positive,anies,pks menang dari damansara kuala lumpur
484,2023-04-09,374842781.0,enjeull kita kasih gassss kan biar pak anies segera naik dan goal presiden ri,Positive,anies,enjeull kita kasih gassss kan biar pak segera naik dan goal
486,2023-04-09,756374106.0,asmara anies didu saewad idha sir,Negative,anies,asmara didu saewad idha sir
509,2023-04-09,172766975.0,prabowoganjaranies kalau orang ini nanti menjadi calon presiden pada tahun menurutmu siapa yg akan dapat suara terbanyak ayo dipilih dipilih ditutup besok senin jam ya,Negative,anies,prabowoganjaranies kalau orang ini nanti menjadi pada tahun menurutmu siapa akan dapat suara terbanyak ayo dipilih dipilih ditutup besok senin jam
510,2023-04-09,771030588.0,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Negative,anies,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
518,2023-04-09,3180698048.0,rosiade aahhh tenane to bang rosiade survei ps gp arb gak apalah yang penting insya allah pak anies rasyid baswedan menang presiden,Positive,anies,rosiade aahhh tenane to bang rosiade ps gp arb apalah yang penting insya allah pak rasyid menang
521,2023-04-09,255866913.0,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Negative,anies,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
528,2023-04-09,174182746.0,apakah maksud zulhas presiden jokowi kendalikan koalisi besar utk melawan pak anies di pilpres bila presiden tidak bisa netral di pilpres nanti bagaimana dgn lembaga negara yg berada di bawah kendali presiden bisa dijamin netralitasnya,Negative,anies,apakah maksud zulhas jokowi kendalikan koalisi besar melawan pak di bila tidak bisa netral di nanti bagaimana lembaga negara berada di bawah kendali bisa dijamin netralitasnya
549,2023-04-09,384190172.0,sudah pas itu kata bang mas adlh capres yg tumbuh bersemi di hati rkyt indonesia atas izin allah mas anies jd presiden ri aamiin sir relawan pemilugembira,Positive,anies,sudah pas itu kata bang mas adlh capres tumbuh bersemi di hati rkyt atas izin allah mas aamiin sir relawan pemilugembira
585,2023-04-09,58880688.0,sandiaga uno jawab wacana dampingi anies baswedan di pilpres restu prabowo jadi acuan sandiaga uno menjawab wacana dipasangkannya ia dengan calon presiden capres usungan nasdem anies baswedan restu prabowo jadi acuan,Negative,anies,sandiaga uno jawab wacana dampingi di restu jadi acuan sandiaga uno menjawab wacana dipasangkannya ia dengan capres usungan nasdem restu jadi acuan
586,2023-04-09,60877658.0,oh pengangguran pantesss mau nyinyir tp lg puasan hahaha anies itu bkn pengangguran mas tp pensiunan rektor menteri dan gubernur skrg lg persiapan mau jd presiden indonesia tahun,Positive,anies,oh pengangguran pantesss mau nyinyir puasan hahaha itu pengangguran mas pensiunan rektor menteri dan gubernur persiapan mau tahun
587,2023-04-09,788744100.0,buka bersama anak yatim garda pemuda nasdem riau siap menangkan anies calon presiden,Positive,anies,buka bersama anak yatim garda pemuda nasdem riau siap menangkan
599,2023-04-08,634227637.0,klaim miliaran tapi tak ada pasien ini kejahatan bidang kesehatan,Negative,anies,klaim miliaran tapi tak ada pasien ini kejahatan bidang kesehatan
612,2023-04-08,428008436.0,samosir indah sekali diksinyainsya allah jika dia berkehendak pak anies presiden ri,Positive,anies,samosir indah sekali diksinyainsya allah jika dia berkehendak pak
615,2023-04-08,64081822.0,sy dukung pak anies jd presiden ke,Positive,anies,dukung pak ke
618,2023-04-08,3311131717.0,bagi kami anies presiden lihat video bung adam ali,Positive,anies,bagi kami lihat video bung adam ali
620,2023-04-08,2540384172.0,semoga rakyat di cerdas dlm pilihan presiden krn gelagat gerombolan partai di luar koalisi perubahan rame keroyok pengusung anies baswedan pdip last minute akan bergabung jadi pimpinan partai koalisi besar,Positive,anies,semoga rakyat di cerdas pilihan gelagat gerombolan partai di luar koalisi perubahan rame keroyok pengusung pdip last minute akan bergabung jadi pimpinan partai koalisi besar
627,2023-04-08,1695601676.0,saya dukung anies jadi presiden ke merdekaaaaa skarang baru presiden ke sabar ya pak anies,Positive,anies,saya dukung jadi ke merdekaaaaa skarang baru ke sabar pak
629,2023-04-08,634227637.0,negara itu milik rakyat pemerintah itu hadir untuk sejahterakan rakyat,Positive,anies,negara itu milik rakyat pemerintah itu hadir untuk sejahterakan rakyat
630,2023-04-08,2838677479.0,inismyname sesuai dengan apa yang di sampaikan oleh alm gusdur bahwa orang yang paling ikhlas di negara ini adalah prabowo dulu telah menjadilan jokowi jadi presiden dan insyaallah di anies yang bakalan jadi presidennya,Positive,anies,sesuai dengan apa yang di sampaikan oleh alm gusdur bahwa orang yang paling ikhlas di negara ini adalah dulu telah menjadilan jokowi jadi dan insyaallah di yang bakalan jadi presidennya
631,2023-04-08,634227637.0,banyak kios yang dikontrakkan banyak pedagang tanpa sewa kios apakah ekonomi ri baik saja,Negative,anies,banyak kios yang dikontrakkan banyak pedagang tanpa sewa kios apakah ekonomi baik saja
636,2023-04-08,2329144706.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
637,2023-04-08,2330187594.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
638,2023-04-08,2307448885.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
646,2023-04-08,384190172.0,mas adlh cnth pemimpin yg kebijakannya berorientasi pd pemenuhan hak dsr hdp masyarakatnya atas izin allah beliau presiden plhn rkyt di aamiin sir relawan pemilugembira,Positive,anies,mas adlh cnth pemimpin kebijakannya berorientasi pd pemenuhan hak dsr hdp masyarakatnya atas izin allah beliau plhn rkyt di aamiin sir relawan pemilugembira
649,2023-04-08,732527053.0,trisatya setuju mas tetep anies presiden masa bodo dengan kualisi besar,Positive,anies,trisatya setuju mas tetep masa bodo dengan kualisi besar
657,2023-04-08,604346693.0,anies baswedan pasti dipilih dong support penuh anies baswedan untuk presiden ri ke,Positive,anies,pasti dipilih dong support penuh untuk ke
658,2023-04-08,298356051.0,generasi milenial pilih anies baswedan sebagai presiden ri  thread,Positive,anies,generasi milenial pilih sebagai thread
659,2023-04-08,2925381554.0,jangan mimpi anies jadi presiden di bos untuk jd capres pun belum tentu karena nasdem dan demokrat akan kembali ke habitat nya mending perjuangkan pt jd bs lewat jalur indepnden ga dijajah oleh parpol,Negative,anies,jangan mimpi jadi di bos untuk capres pun belum tentu karena nasdem dan demokrat akan kembali ke habitat mending perjuangkan pt lewat jalur indepnden dijajah oleh parpol
660,2023-04-08,567132989.0,ri perjuangan hasil revolusi mental preseden jikowo yg kritik pemeribtah target dikandangin atau making teriak maling agar tampak bersih atau tetiak maling iblis krn tidak kebagian atau stop petugas partai anies presiden,Negative,anies,perjuangan hasil revolusi mental preseden jikowo kritik pemeribtah target dikandangin atau making teriak maling agar tampak bersih atau tetiak maling iblis tidak kebagian atau stop petugas partai
662,2023-04-07,89575980.0,ini alasan mengapa warga nu harus pilih anies jadi presiden di,Positive,anies,ini alasan mengapa warga nu harus pilih jadi di
674,2023-04-07,59677074.0,melihat percaturan politik jelang memang seru incumbent pingin periode di block pdip dkk incumbent ajukan ganjar diblock pdip mrk ajukan puan ganjar digenjet istana melawan pdip gencet presiden anies maju didukung nasdem pks demokrat ummat,Negative,anies,melihat percaturan politik jelang memang seru incumbent pingin periode di block pdip dkk incumbent ajukan diblock pdip mrk ajukan puan digenjet istana melawan pdip gencet maju didukung nasdem pks demokrat ummat
678,2023-04-07,306615832.0,asmara anies pemimpin pro rakyat presiden ri,Positive,anies,asmara pemimpin pro rakyat
679,2023-04-07,306615832.0,anies pemimpin pro rakyat presiden ri,Positive,anies,pemimpin pro rakyat
683,2023-04-07,306615832.0,anies pemimpin pro rakyat presiden ri,Positive,anies,pemimpin pro rakyat
686,2023-04-07,3097054754.0,kun fayakun jika allah berkehendak maka terjadilah anies presiden aamiin,Positive,anies,kun fayakun jika allah berkehendak maka terjadilah aamiin
688,2023-04-07,306615832.0,anies pemimpin bersih jujur dan cerdas saatnya lawan oligarki lawan korupsi selamatkan indonesia anies presiden ri,Positive,anies,pemimpin bersih jujur dan cerdas saatnya lawan oligarki lawan korupsi selamatkan
691,2023-04-07,306615832.0,anies pemimpin pro rakyat presiden ri,Positive,anies,pemimpin pro rakyat
693,2023-04-07,428008436.0,insya allah pak anies presiden ri,Positive,anies,insya allah pak
694,2023-04-07,458973411.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Positive,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
695,2023-04-07,2289151884.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Positive,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
696,2023-04-07,2304024478.0,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Positive,anies,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil mendampingi pada
